"Gene","Pathway"
"ARRDC1","GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS"
"ARRDC4","GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS"
"ATP13A2","GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS"
"ATP9A","GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS"
"CD34","GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS"
"CHMP2A","GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS"
"CHMP3","GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS"
"CHMP6","GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS"
"COPS5","GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS"
"HGS","GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS"
"IFNG","GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS"
"PDCD6IP","GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS"
"PRKN","GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS"
"RAB11A","GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS"
"RAB27A","GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS"
"RAB7A","GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS"
"SDC1","GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS"
"SDC4","GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS"
"SDCBP","GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS"
"SMPD3","GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS"
"SNF8","GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS"
"STAM","GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS"
"TSG101","GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS"
"VPS4A","GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS"
"VPS4B","GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS"
