vegf,tnfa,il10,kclike,il8,tgfb
,GREM1,KCNK13,PAX3,,JAML
CCDC172,SPTA1,,,,PIK3CG
,,CCL3,ITGA11,GDF15,
GLDN,,NAA11,,,SASH3
CNTN2,,CLEC5A,DMRTA1,GAL3ST2,
TGM2,CCL3,,SCN8A,OAS1,CD2
SEPTIN1,,,SCML2,ZNF768,CD1C
,,,PSTPIP1,,AOAH
MOV10L1,,,CSPG4,,GIMAP2
ATR,NR1H4,,SNAI1,,
TC2N,SMPDL3A,,PCDHB2,,MKRN2OS
,CCL7,,ATP8A1,,CABYR
,ARHGAP20,SUCNR1,TCIM,,
,EFCAB5,,CLSTN3,,
,NDNF,,SLC6A15,,
,OLA1,,OVOL2,,
,,CCL8,,,
,FCER1G,ACTA2,HSPB2,,
,CPLX2,STAB1,CMTM7,,
,,CCL7,TSTD1,,
,,,PRAME,,
,,,LINGO1,,
,,CIAPIN1,TBC1D16,,
,,,KIF1A,,
,,ATF2,SLC1A1,,
,,,,,
,,TCP11L2,CACNB4,,
,,CAMKV,EREG,,
,,CSF1R,EFEMP2,,
,,DNM1,SLC37A1,,
,,,KRBA1,,
,,,BCL11B,,
,,,HS3ST3A1,,
,,,SIAE,,
,,,ATP1A3,,
,,,CLEC3A,,
,,,CGAS,,
,,,KLF14,,
,,,,,
,,,NLRP1,,
,,,TCF23,,
,,,MPP2,,
,,,PADI2,,
,,,MBNL3,,
,,,ASS1,,
,,,ZYG11A,,
,,,CLIC3,,
,,,,,
,,,CHD5,,
,,,CRYZ,,
,,,DLA-79,,
,,,ELAVL2,,
,,,PTPRU,,
