cell_line,Dog 1,Dog 2,Dog 3
D17,24.8542549,148.4379467,146.8396554
1771,13.65676849,128.5391283,75.55270709
17CM98,16.9184234,102.1136617,66.66234599
Abrams,7.52603191,112.2263128,40.79053841
Bliley,38.66196821,131.5579681,55.00195749
CLL1390,15.06961824,134.5925544,146.8396554
CML-10C2,13.65676849,103.5450273,102.8544912
CML-6m,22.44289144,175.3933065,255.7477595
CMT12,38.42365447,190.0629966,430.2663244
CMT27,19.43596599,127.035676,303.6335183
CTAC,18.37998827,130.0465674,232.1431638
Denver,17.9603644,148.4379467,166.1522128
DH82,25.74118149,134.5925544,153.2492602
Gracie,16.09239613,172.1699437,269.3407703
HMPOS,20.71580571,137.6426918,252.3611488
Jones,33.47991745,188.4199498,387.5513238
MacKinley,32.32054939,220.1740754,597.9038468
Nike,24.8542549,185.143572,32.49806544
Moresco,20.07418908,145.3348394,218.7653814
OS2.4,13.0583674,186.7801364,195.5618753
OSA8,28.65901024,162.5819557,208.7877315
Parks,16.5045586,145.3348394,296.7408607
STSA-1,18.16997589,90.82857321,162.9162867
Vogel,19.22399073,102.1136617,320.9364283
Yamane,83.47010123,67.90174241,259.1390751
Ctrl,18.80120442,37.27573362,137.280293
