Cell Line,IL-10,TNF-α,TGF-β,VEGF,IL-8,CCL2,KC-like
D17,76.18%,67.88%,67.58%,58.93%,115.53%,88.74%,119.82%
1771,66.50%,80.72%,65.27%,39.89%,68.97%,79.54%,102.83%
17CM98,185.92%,163.55%,47.36%,56.29%,108.27%,93.27%,113.98%
Abrams,242.95%,302.86%,108.40%,67.22%,147.22%,114.97%,129.04%
Bliley,103.92%,103.06%,82.91%,60.97%,103.76%,120.38%,95.13%
CLL1390,57.29%,40.85%,65.75%,48.20%,86.06%,101.49%,92.80%
CML-10C2,197.92%,143.02%,123.18%,53.71%,97.94%,111.52%,95.15%
CML-6m,528.08%,327.13%,182.39%,112.00%,118.23%,107.94%,101.12%
CMT12,337.68%,531.45%,113.64%,98.03%,116.02%,112.96%,102.40%
CMT27,230.07%,357.46%,101.14%,87.80%,94.57%,122.47%,96.28%
CTAC,61.73%,47.74%,94.43%,107.88%,94.18%,110.56%,93.89%
Den,96.86%,149.27%,102.43%,106.12%,99.88%,126.02%,98.43%
DH82,221.15%,449.71%,113.54%,121.26%,91.02%,115.67%,101.30%
Gracie,161.97%,205.32%,110.30%,86.81%,95.57%,95.08%,104.93%
HMPOS,81.38%,110.83%,166.59%,99.86%,86.75%,132.61%,94.13%
Jones,54.47%,55.20%,206.03%,187.56%,93.68%,114.16%,98.53%
MacKinley,62.50%,84.78%,94.14%,129.03%,92.60%,84.24%,93.61%
Nike,1489.22%,701.32%,105.73%,158.43%,114.38%,88.60%,102.36%
Moresco,68.63%,69.28%,100.12%,139.52%,80.34%,119.13%,82.55%
OS2.4,53.48%,51.25%,123.29%,144.47%,69.17%,126.30%,95.00%
OSA8,1438.08%,716.96%,111.99%,136.71%,69.93%,103.05%,99.00%
Parks,91.55%,83.35%,80.01%,121.69%,110.07%,122.49%,104.49%
STSA-1,123.62%,280.76%,109.86%,133.40%,74.56%,114.52%,81.40%
Vogel,74.12%,65.83%,94.85%,107.85%,62.14%,81.22%,84.69%
Yamane,90.72%,80.36%,63.75%,101.15%,69.32%,83.02%,89.21%
