cytokine,treatment,donor_1_modz,donor_2_modz,donor_3_modz,mean_modz
vegf,D17,-0.403818274,-0.03050323,-1.03687511,-0.490398871
vegf,1771,0.053240332,-0.930016855,-1.393076096,-0.75661754
vegf,17CM98,-0.267293612,-0.187519858,-1.088952053,-0.514588508
vegf,Abrams,-0.208858853,-0.257476246,-0.645058107,-0.370464402
vegf,Bliley,-0.474335946,-0.041728909,-0.931680296,-0.482581717
vegf,CLL1390,-0.112705813,-0.930016855,-1.02525143,-0.689324699
vegf,CML-10C2,0,-0.741292788,-0.952233493,-0.56450876
vegf,CML-6m,2.986081528,1.07680791,-0.593450601,1.156479612
vegf,CMT12,2.20264142,0.138422822,-0.375407102,0.655219047
vegf,CMT27,2.20264142,-0.156710473,-0.602574016,0.481118977
vegf,CTAC,4.13344793,0.6745,-0.854896655,1.317683758
vegf,Denver,3.713362627,0.413533589,-0.654130496,1.157588573
vegf,DH82,2.324368596,1.065020947,-0.039698082,1.11656382
vegf,Gracie,1.057856923,-0.03330965,-0.381601636,0.214315212
vegf,HMPOS,2.685590523,0.365110093,-0.572132017,0.826189533
vegf,Jones,8.081712985,2.092303205,0.277835545,3.483950578
vegf,MacKinley,5.571916588,0.602492374,-0.412533483,1.92062516
vegf,Nike,3.64245716,2.791448672,0.036687559,2.156864464
vegf,Moresco,8.450578577,-0.360905566,-0.291469642,2.599401123
vegf,OS2.4,5.95797788,1.533876721,-0.455711524,2.345381026
vegf,OSA8,3.815067275,1.521763193,-0.131483312,1.735115719
vegf,Parks,3.937763942,0.680265917,-0.269620389,1.449469823
vegf,STSA-1,3.361284527,1.07680791,0.123084463,1.5203923
vegf,Vogel,2.118928473,1.094503661,-0.514064643,0.899789164
vegf,Yamane,2.608888522,0.631260727,-0.651109768,0.86301316
