Cytokine,Cell Line,Rank
VEGF,Jones,1
VEGF,Nike,2
VEGF,OS2.4,3
VEGF,Moresco,4
VEGF,OSA8,5
VEGF,STSA-1,6
VEGF,MacKinley,7
VEGF,Parks,8
VEGF,DH82,9
VEGF,CML-6m,10
VEGF,CTAC,11
VEGF,Vogel,12
VEGF,Denver,13
VEGF,Yamane,14
VEGF,HMPOS,15
VEGF,CMT12,16
VEGF,CMT27,17
VEGF,Gracie,18
VEGF,Abrams,19
VEGF,Bliley,20
VEGF,D17,21
VEGF,17CM98,22
VEGF,CML-10C2,23
VEGF,CLL1390,24
VEGF,1771,25
IL_8,Abrams,1
IL_8,CML-6m,2
IL_8,CMT12,3
IL_8,D17,4
IL_8,Nike,5
IL_8,Parks,6
IL_8,17CM98,7
IL_8,Bliley,8
IL_8,Denver,9
IL_8,CML-10C2,10
IL_8,Gracie,11
IL_8,CMT27,12
IL_8,CTAC,13
IL_8,Jones,14
IL_8,MacKinley,15
IL_8,DH82,16
IL_8,HMPOS,17
IL_8,CLL1390,18
IL_8,Moresco,19
IL_8,STSA-1,20
IL_8,OSA8,21
IL_8,Yamane,22
IL_8,OS2.4,23
IL_8,1771,24
IL_8,Vogel,25
KC_like,Abrams,1
KC_like,D17,2
KC_like,17CM98,3
KC_like,Gracie,4
KC_like,Parks,5
KC_like,1771,6
KC_like,CMT12,7
KC_like,Nike,8
KC_like,DH82,9
KC_like,CML-6m,10
KC_like,OSA8,11
KC_like,Jones,12
KC_like,Denver,13
KC_like,CMT27,14
KC_like,CML-10C2,15
KC_like,Bliley,16
KC_like,OS2.4,17
KC_like,HMPOS,18
KC_like,CTAC,19
KC_like,MacKinley,20
KC_like,CLL1390,21
KC_like,Yamane,22
KC_like,Vogel,23
KC_like,Moresco,24
KC_like,STSA-1,25
IL_10,Nike,1
IL_10,OSA8,2
IL_10,CML-6m,3
IL_10,CMT12,4
IL_10,Abrams,5
IL_10,CMT27,6
IL_10,DH82,7
IL_10,CML-10C2,8
IL_10,17CM98,9
IL_10,Gracie,10
IL_10,STSA-1,11
IL_10,Bliley,12
IL_10,Denver,13
IL_10,Parks,14
IL_10,Yamane,15
IL_10,HMPOS,16
IL_10,D17,17
IL_10,Vogel,18
IL_10,Moresco,19
IL_10,1771,20
IL_10,MacKinley,21
IL_10,CTAC,22
IL_10,CLL1390,23
IL_10,Jones,24
IL_10,OS2.4,25
TGF_b,Jones,1
TGF_b,CML-6m,2
TGF_b,HMPOS,3
TGF_b,OS2.4,4
TGF_b,CML-10C2,5
TGF_b,CMT12,6
TGF_b,DH82,7
TGF_b,OSA8,8
TGF_b,Gracie,9
TGF_b,STSA-1,10
TGF_b,Abrams,11
TGF_b,Nike,12
TGF_b,Denver,13
TGF_b,CMT27,14
TGF_b,Moresco,15
TGF_b,Vogel,16
TGF_b,CTAC,17
TGF_b,MacKinley,18
TGF_b,Bliley,19
TGF_b,Parks,20
TGF_b,D17,21
TGF_b,CLL1390,22
TGF_b,1771,23
TGF_b,Yamane,24
TGF_b,17CM98,25
CCL2,HMPOS,1
CCL2,OS2.4,2
CCL2,Denver,3
CCL2,Parks,4
CCL2,CMT27,5
CCL2,Bliley,6
CCL2,Moresco,7
CCL2,DH82,8
CCL2,Abrams,9
CCL2,STSA-1,10
CCL2,Jones,11
CCL2,CMT12,12
CCL2,CML-10C2,13
CCL2,CTAC,14
CCL2,CML-6m,15
CCL2,OSA8,16
CCL2,CLL1390,17
CCL2,Gracie,18
CCL2,17CM98,19
CCL2,D17,20
CCL2,Nike,21
CCL2,MacKinley,22
CCL2,Yamane,23
CCL2,Vogel,24
CCL2,1771,25
TNF_a,OSA8,1
TNF_a,Nike,2
TNF_a,CMT12,3
TNF_a,DH82,4
TNF_a,CMT27,5
TNF_a,CML-6m,6
TNF_a,Abrams,7
TNF_a,STSA-1,8
TNF_a,Gracie,9
TNF_a,17CM98,10
TNF_a,Denver,11
TNF_a,CML-10C2,12
TNF_a,HMPOS,13
TNF_a,Bliley,14
TNF_a,MacKinley,15
TNF_a,Parks,16
TNF_a,1771,17
TNF_a,Yamane,18
TNF_a,Moresco,19
TNF_a,D17,20
TNF_a,Vogel,21
TNF_a,Jones,22
TNF_a,OS2.4,23
TNF_a,CTAC,24
TNF_a,CLL1390,25
